uf_abb,uf_code,munic_code,munic_name,d_1997,d_1998,d_1999,d_2000,d_2001,d_2002,d_2003,d_2004,d_2005,d_2006,d_2007,d_2008,d_2009,d_2010,d_2011,d_2012,d_2013,d_2014,d_2015,d_2016,d_2017,d_2018,d_2019,d_2020,d_2021,d_2022,previous_mun_1997,previous_mun_1998,previous_mun_1999,previous_mun_2000,previous_mun_2001,previous_mun_2002,previous_mun_2003,previous_mun_2004,previous_mun_2005,previous_mun_2006,previous_mun_2007,previous_mun_2008,previous_mun_2009,previous_mun_2010,previous_mun_2011,previous_mun_2012,previous_mun_2013,previous_mun_2014,previous_mun_2015,previous_mun_2016,previous_mun_2017,previous_mun_2018,previous_mun_2019,previous_mun_2020,previous_mun_2021,previous_mun_2022
RO,11,1100205,Porto Velho,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205,1100205
RO,11,1100254,Presidente Médici,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254,1100254
RO,11,1100262,Rio Crespo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262,1100262
RO,11,1100288,Rolim de Moura,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288,1100288
RO,11,1100296,Santa Luzia D'Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296,1100296
RO,11,1100304,Vilhena,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304,1100304
RO,11,1100320,São Miguel do Guaporé,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320,1100320
RO,11,1100338,Nova Mamoré,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338,1100338
RO,11,1100346,Alvorada D'Oeste,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346,1100346
RO,11,1100379,Alto Alegre dos Parecis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379,1100379
